id,name,category,gender,follower_count,platform,persona
1,Allison Hill,Fitness,Male,398786,YouTube,Educator
2,Noah Rhodes,Beauty,Male,396123,Instagram,Motivator
3,Angie Henderson,Fashion,Female,26663,Instagram,Motivator
4,Daniel Wagner,Beauty,Male,274951,Twitter,Motivator
5,Cristian Santos,Fashion,Male,385400,Twitter,Reviewer
6,Connie Lawrence,Beauty,Female,318944,YouTube,Motivator
7,Abigail Shaffer,Beauty,Other,231571,YouTube,Entertainer
8,Gina Moore,Beauty,Male,410290,YouTube,Motivator
9,Gabrielle Davis,Fitness,Female,60707,YouTube,Entertainer
10,Ryan Munoz,Fashion,Female,433167,Instagram,Reviewer
11,Monica Herrera,Fashion,Male,493548,YouTube,Motivator
12,Jamie Arnold,Fashion,Female,444846,Twitter,Entertainer
13,Lisa Hensley,Fashion,Male,379398,Instagram,Motivator
14,Michele Williams,Beauty,Female,51833,Instagram,Motivator
15,Dylan Miller,Food,Female,247717,Twitter,Entertainer
16,Brian Ramirez,Beauty,Female,196264,Instagram,Entertainer
17,Holly Wood,Fitness,Other,342911,Instagram,Educator
18,Derek Zuniga,Beauty,Female,208943,YouTube,Educator
19,Lisa Jackson,Tech,Male,130087,Instagram,Entertainer
20,Carla Gray,Food,Female,44701,Instagram,Entertainer
21,Margaret Hawkins DDS,Beauty,Other,271740,YouTube,Reviewer
22,Patty Perez,Beauty,Female,83206,Instagram,Entertainer
23,Ethan Adams,Fashion,Female,480717,Twitter,Reviewer
24,Tommy Walter,Tech,Male,82525,Twitter,Reviewer
25,Matthew Foster,Fitness,Male,461465,Instagram,Educator
26,Judy Baker,Beauty,Other,231333,Twitter,Motivator
27,Justin Baker,Food,Female,322417,YouTube,Entertainer
28,Stephanie Ross,Fashion,Male,366664,Twitter,Motivator
29,Zachary Hicks,Fashion,Female,412967,Twitter,Entertainer
30,Anthony Rodriguez,Fitness,Female,237942,Instagram,Reviewer
31,Rebecca Henderson,Fitness,Other,469199,Twitter,Entertainer
32,James Ferrell,Fashion,Male,276171,Instagram,Entertainer
33,Tricia Valencia,Fashion,Other,114286,Instagram,Entertainer
34,Nathan Maldonado,Beauty,Other,418224,Twitter,Motivator
35,Debra Davidson,Fashion,Female,266170,Instagram,Motivator
36,Jeffrey Chavez,Tech,Female,135541,Instagram,Educator
37,Sherri Baker,Fashion,Male,54907,Twitter,Reviewer
38,Cassandra Gaines,Fitness,Other,411517,Instagram,Educator
39,Elizabeth Fowler,Food,Other,96574,YouTube,Reviewer
40,Brittany Farmer,Beauty,Other,405976,Twitter,Educator
41,Paula Moreno,Tech,Female,362157,Twitter,Entertainer
42,Fred Smith,Food,Other,246708,Instagram,Educator
43,Sherry Decker,Beauty,Male,187254,Instagram,Educator
44,Anthony Humphrey,Fashion,Male,13770,Instagram,Motivator
45,Angelica Tucker,Beauty,Male,484700,Instagram,Entertainer
46,Philip Cannon,Fitness,Other,134782,YouTube,Reviewer
47,John Pierce,Beauty,Other,79369,Twitter,Reviewer
48,Shane Henderson,Beauty,Female,433360,YouTube,Educator
49,Joshua Blair,Fitness,Male,355496,YouTube,Entertainer
50,Eric Carney,Food,Female,254855,Twitter,Motivator
