id,name,category,gender,follower_count,platform,persona
1,Susan Franklin,Lifestyle,Male,126958,Instagram,Gym Trainer
2,Vanessa Webb,Fitness,Male,151867,Instagram,Athlete
3,Jeremy Smith,Fitness,Female,136932,Instagram,Athlete
4,John Mendoza,Vitamins,Male,108694,Instagram,Athlete
5,Erica Ortiz,Vitamins,Male,124879,Twitter,Fitness Blogger
6,Christy Gross,Vitamins,Male,115268,YouTube,Nutritionist
7,Michael Roberts,Bodybuilding,Male,59886,Instagram,Nutritionist
8,Lisa Stewart,Nutrition,Female,142337,Instagram,Nutritionist
9,Adam Hernandez,Bodybuilding,Male,173266,Instagram,Athlete
10,Brandon Wallace,Vitamins,Female,92498,YouTube,Nutritionist
11,Betty Benitez,Bodybuilding,Male,117727,Twitter,Athlete
12,Cody Snyder,Vitamins,Female,131324,Instagram,Nutritionist
13,Zachary Forbes,Nutrition,Female,180203,Twitter,Athlete
14,Matthew Kelley,Nutrition,Male,196335,Twitter,Nutritionist
15,Susan Hayes,Fitness,Male,21023,Instagram,Fitness Blogger
16,Michael Casey,Lifestyle,Female,46090,YouTube,Gym Trainer
17,Lisa Le,Nutrition,Female,72221,YouTube,Nutritionist
18,Tiffany Elliott,Nutrition,Male,69820,Twitter,Gym Trainer
19,Deborah Meyers,Bodybuilding,Male,5769,YouTube,Nutritionist
20,Brandy Cook,Lifestyle,Male,64735,Twitter,Athlete
21,Hailey Poole,Lifestyle,Male,199027,Instagram,Fitness Blogger
22,Jordan Robbins,Nutrition,Female,69925,Instagram,Nutritionist
23,Lindsey Evans,Bodybuilding,Male,10311,Twitter,Fitness Blogger
24,Jonathan Owen,Lifestyle,Female,108355,Instagram,Gym Trainer
25,Jordan Wilcox,Vitamins,Male,189779,Twitter,Nutritionist
26,Cindy Escobar,Bodybuilding,Female,90305,Twitter,Nutritionist
27,Claire Walker,Vitamins,Male,164765,Instagram,Fitness Blogger
28,John Larson,Fitness,Male,135608,Instagram,Gym Trainer
29,Holly Miller,Bodybuilding,Male,161730,Twitter,Athlete
30,Mason Durham,Vitamins,Female,89478,YouTube,Fitness Blogger
31,Miguel Brown,Fitness,Female,127537,Twitter,Athlete
32,Jason Hicks,Lifestyle,Female,154503,Twitter,Athlete
33,Jason Montoya,Nutrition,Female,135523,YouTube,Fitness Blogger
34,Nathan Wilson,Lifestyle,Male,7747,Twitter,Gym Trainer
35,James Franklin,Lifestyle,Male,128855,Twitter,Gym Trainer
36,William Terry,Nutrition,Male,195222,YouTube,Athlete
37,Virginia Herrera,Fitness,Female,70725,YouTube,Athlete
38,Erica Bridges,Nutrition,Female,134981,YouTube,Athlete
39,Jennifer James,Fitness,Male,89654,Twitter,Athlete
40,George Flores,Vitamins,Female,171845,Instagram,Gym Trainer
41,William Harper,Bodybuilding,Male,124346,Twitter,Gym Trainer
42,Anna Ray,Vitamins,Female,72435,Twitter,Fitness Blogger
43,Crystal Carpenter,Nutrition,Male,61886,Twitter,Nutritionist
44,Kristin Santos,Lifestyle,Female,71803,Twitter,Fitness Blogger
45,Gina Morris,Nutrition,Female,36551,Instagram,Gym Trainer
46,Scott Shaw,Fitness,Male,121216,YouTube,Gym Trainer
47,Rhonda Collier,Fitness,Male,16394,Instagram,Athlete
48,Brian Duran,Fitness,Male,74092,Instagram,Nutritionist
49,Jeffrey Ballard,Nutrition,Male,8890,Twitter,Nutritionist
50,Martin Davis,Vitamins,Female,46606,Instagram,Gym Trainer
51,Erika Guzman,Bodybuilding,Female,92313,Instagram,Fitness Blogger
